iter	Passed	Remaining
409	4755	6843
410	4768	6833
411	4781	6823
412	4793	6812
413	4805	6802
414	4816	6789
415	4826	6775
416	4838	6765
417	4853	6757
418	4862	6741
419	4875	6732
420	4888	6722
421	4902	6714
422	4913	6702
423	4927	6694
424	4941	6685
425	4952	6672
426	4965	6663
427	4976	6650
428	4987	6638
429	5004	6633
430	5017	6623
431	5029	6613
432	5043	6603
433	5056	6594
434	5068	6583
435	5078	6568
436	5089	6556
437	5098	6542
438	5110	6530
439	5119	6515
440	5130	6502
441	5141	6490
442	5155	6482
443	5166	6469
444	5179	6459
445	5191	6449
446	5205	6440
447	5216	6427
448	5228	6416
449	5237	6400
450	5249	6390
451	5265	6383
452	5278	6374
453	5290	6362
454	5299	6347
455	5312	6337
456	5325	6327
457	5339	6318
458	5350	6306
459	5364	6297
460	5374	6283
461	5388	6274
462	5401	6264
463	5417	6257
464	5432	6250
465	5444	6239
466	5457	6229
467	5468	6216
468	5480	6204
469	5493	6194
470	5503	6180
471	5511	6165
472	5520	6150
473	5530	6137
474	5538	6121
475	5550	6110
476	5563	6099
477	5575	6088
478	5587	6077
479	5600	6066
480	5612	6056
481	5620	6039
482	5630	6026
483	5639	6012
484	5648	5997
485	5655	5981
486	5663	5966
487	5676	5956
488	5688	5944
489	5700	5932
490	5712	5921
491	5723	5909
492	5735	5898
493	5748	5887
494	5759	5875
495	5771	5864
496	5782	5852
497	5796	5843
498	5811	5834
499	5823	5823
500	5835	5811
501	5841	5794
502	5851	5781
503	5862	5769
504	5875	5758
505	5887	5747
506	5899	5736
507	5909	5723
508	5921	5711
509	5931	5699
510	5942	5686
511	5953	5673
512	5960	5658
513	5965	5640
514	5976	5628
515	5982	5611
516	5987	5593
517	5993	5577
518	5998	5559
519	6003	5541
520	6010	5526
521	6017	5510
522	6022	5492
523	6031	5479
524	6036	5461
525	6042	5445
526	6055	5434
527	6060	5417
528	6068	5403
529	6073	5386
530	6079	5369
531	6085	5353
532	6095	5340
533	6106	5328
534	6114	5314
535	6124	5301
536	6133	5287
537	6143	5275
538	6152	5262
539	6161	5248
540	6171	5236
541	6178	5220
542	6187	5207
543	6194	5192
544	6203	5178
545	6214	5167
546	6224	5155
547	6234	5142
548	6246	5131
549	6257	5119
550	6268	5107
551	6278	5095
552	6288	5082
553	6297	5070
554	6310	5059
555	6319	5046
556	6330	5034
557	6345	5025
558	6352	5011
559	6363	4999
560	6373	4987
561	6385	4976
562	6396	4965
563	6407	4953
564	6419	4942
565	6430	4930
566	6441	4919
567	6453	4908
568	6463	4896
569	6476	4885
570	6488	4874
571	6500	4863
572	6510	4851
573	6523	4841
574	6534	4829
575	6544	4817
