iter	Logloss
0	0.6547689622
1	0.6318263525
2	0.593071915
3	0.5608661539
4	0.5336853942
5	0.5040494132
6	0.473419709
7	0.4476748443
8	0.4231334714
9	0.4008495071
10	0.3800632077
11	0.3629886369
12	0.3458166257
13	0.3304839283
14	0.3144622028
15	0.2996568798
16	0.2855666679
17	0.2742440925
18	0.2640902167
19	0.2528234886
20	0.2423748307
21	0.2334469099
22	0.2255594321
23	0.2156177856
24	0.2071156511
25	0.200070055
26	0.1927499997
27	0.1855353579
28	0.1790867184
29	0.1731421654
30	0.1686452381
31	0.1638068408
32	0.1588719812
33	0.1553872243
34	0.1513549837
35	0.1476473507
36	0.1434531731
37	0.1405036287
38	0.1369093924
39	0.1340953861
40	0.1308925387
41	0.1271614284
42	0.1237861776
43	0.1208144961
44	0.1181730527
45	0.1155819569
46	0.1130785806
47	0.1109675561
48	0.1091013776
49	0.1076037159
50	0.1055302965
51	0.1040128628
52	0.1024876801
53	0.1008932529
54	0.09904789522
55	0.09764927416
56	0.09624397974
57	0.09472303499
58	0.093308504
59	0.09224737375
60	0.09122321859
61	0.08995341909
62	0.0890787847
63	0.08805590973
64	0.08686819874
65	0.08590239987
66	0.08530606004
67	0.08430040524
68	0.08328512475
69	0.08242466247
70	0.08180717576
71	0.08127252253
72	0.08067096873
73	0.07987789865
74	0.07921765128
75	0.07851081159
76	0.07801566428
77	0.07751270242
78	0.07710391881
79	0.07646083955
80	0.07596912449
81	0.0753340645
82	0.0747670347
83	0.07423344506
84	0.07390943094
85	0.07343337055
86	0.07296663784
87	0.07247911491
88	0.07208210342
89	0.07182291755
90	0.07148766731
91	0.07103705057
92	0.07052711849
93	0.07023612539
94	0.06993197919
95	0.06972388258
96	0.06940791439
97	0.06918447989
98	0.0688890393
99	0.06866790692
100	0.06825975755
101	0.06794166224
102	0.06776707045
103	0.06763888693
104	0.06745763549
105	0.06730913582
106	0.06691530562
107	0.06678154605
108	0.06655248962
109	0.06636126011
110	0.06619934097
111	0.06606430616
112	0.06574792736
113	0.06557420528
114	0.06523708733
115	0.0651054391
116	0.0649794427
117	0.06472800812
118	0.06456216784
119	0.06440754838
120	0.06412240493
121	0.06401239965
122	0.06391764618
123	0.06372751801
124	0.06359032818
125	0.06353165199
126	0.06319937896
127	0.06309262969
128	0.06287422171
129	0.0627041791
130	0.06260423544
131	0.06239683194
132	0.06219111784
133	0.06198051974
134	0.06181645443
135	0.06167675711
136	0.06155268063
137	0.06147635887
138	0.06138911848
139	0.06122673586
140	0.06105358285
141	0.0608294965
142	0.06072636901
143	0.06062706735
144	0.06044582088
145	0.06041375643
146	0.06031132156
147	0.06023648638
148	0.06004398571
149	0.05991646113
150	0.0597751522
151	0.05968819581
152	0.05955882199
153	0.05945338609
154	0.05928790566
155	0.05920514238
156	0.05914031618
157	0.05889956471
158	0.0587505152
159	0.05871993475
160	0.05861942693
161	0.05852783454
162	0.05830213678
163	0.05826519712
164	0.05805042726
165	0.05794768704
166	0.05791500703
167	0.05787853417
168	0.05781278554
169	0.05776873124
170	0.0577520027
171	0.05766963857
172	0.05760007712
173	0.05752856549
174	0.05734475365
175	0.05724557603
176	0.05721616708
177	0.05717327641
178	0.05713531447
179	0.05706542415
180	0.05700149595
181	0.05689715185
182	0.05680125049
183	0.05675956399
184	0.05671214456
185	0.05665165646
186	0.05651976466
187	0.05641153448
188	0.05621678571
189	0.05606273784
190	0.05599225581
191	0.05589940446
192	0.05586031827
193	0.05581841552
194	0.05572627572
195	0.05566344629
196	0.05555122646
197	0.05548064259
198	0.05528722143
199	0.0552512882
200	0.05513874776
201	0.05497473572
202	0.05481308055
203	0.05477035872
204	0.05465595616
205	0.05460344219
206	0.05447510645
207	0.05436363807
208	0.0542309177
209	0.05408565048
210	0.05398285579
211	0.05393467585
212	0.05385630295
213	0.05377495006
214	0.05367250927
215	0.05363835434
216	0.05353985668
217	0.05346660915
218	0.05328514149
219	0.05325286773
220	0.05311222392
221	0.05302080872
222	0.05293877378
223	0.05287821886
224	0.05278838258
225	0.05266255192
226	0.0525366249
227	0.05246557711
228	0.05240345582
229	0.05236336489
230	0.05233490297
231	0.05229349602
232	0.052197978
233	0.05203702838
234	0.05193509158
235	0.05182943904
236	0.05177243495
237	0.05165625554
238	0.05163746504
239	0.05156577814
240	0.0514426516
